Make,Model,Type,MSRP,Fuel,Air Pollution Score,Invoice,EngineSize,Cert Region,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Origin,DriveTrain
Saab,9-3 Arc convertible 2dr,Sedan,"$40,670",Gasline,6,"$38,520",2,FA,4,210,21,29,3480,105,182,Europe,Front
Saab,9-3 Arc convertible 2dr,Sedan,"$38,520",Gasline,6,"$40,670",2,FA,4,210,21,29,3480,105,182,Europe,Front
Saab,9-3 Arc Sport 4dr,Sedan,"$30,860",Gasline,6,"$29,269",2,FA,4,210,20,28,3175,105,183,Europe,Front
Saab,9-3 Arc Sport 4dr,Sedan,"$29,269",Gasline,6,"$30,860",2,FA,4,210,20,28,3175,105,183,Europe,Front
Saab,9-5 Aero,Wagon,"$40,845",Gasline,6,"$38,376",2.3,FA,4,250,19,29,3620,106,190,Europe,Front
Saab,9-5 Aero,Wagon,"$38,376",Gasline,6,"$40,845",2.3,FA,4,250,19,29,3620,106,190,Europe,Front
Saab,9-5 Aero 4dr,Sedan,"$39,465",Gasline,6,"$37,721",2.3,FA,4,250,21,29,3470,106,190,Europe,Front
Saab,9-5 Aero 4dr,Sedan,"$37,721",Gasline,6,"$39,465",2.3,FA,4,250,21,29,3470,106,190,Europe,Front
Saab,9-5 Arc 4dr,Sedan,"$35,105",Gasline,6,"$33,011",2.3,FA,4,220,21,29,3470,106,190,Europe,Front
Saab,9-5 Arc 4dr,Sedan,"$33,011",Gasline,6,"$35,105",2.3,FA,4,220,21,29,3470,106,190,Europe,Front
Audi,A4 1.8T 4dr,Sedan,"$25,940",Gasline,6,"$23,508",1.8,FA,4,170,22,31,3252,104,179,Europe,Front
Audi,A4 1.8T 4dr,Sedan,"$23,508",Gasline,6,"$25,940",1.8,FA,4,170,22,31,3252,104,179,Europe,Front
Audi,A4 3.0 4dr,Sedan,"$31,840",Gasline,6,"$28,846",3,FA,6,220,20,28,3462,104,179,Europe,Front
Audi,A4 3.0 4dr,Sedan,"$28,846",Gasline,6,"$31,840",3,FA,6,220,20,28,3462,104,179,Europe,Front
Audi,A4 3.0 convertible 2dr,Sedan,"$42,490",Gasline,6,"$38,325",3,FA,6,220,20,27,3814,105,180,Europe,Front
Audi,A4 3.0 convertible 2dr,Sedan,"$38,325",Gasline,6,"$42,490",3,FA,6,220,20,27,3814,105,180,Europe,Front
Audi,A4 3.0 Quattro 4dr auto,Sedan,"$34,480",Gasline,6,"$31,388",3,FA,6,220,18,25,3627,104,179,Europe,All
Audi,A4 3.0 Quattro 4dr auto,Sedan,"$31,388",Gasline,6,"$34,480",3,FA,6,220,18,25,3627,104,179,Europe,All
Audi,A4 3.0 Quattro 4dr manual,Sedan,"$33,430",Gasline,6,"$30,366",3,FA,6,220,17,26,3583,104,179,Europe,All
Audi,A4 3.0 Quattro 4dr manual,Sedan,"$30,366",Gasline,6,"$33,430",3,FA,6,220,17,26,3583,104,179,Europe,All
Audi,A4 3.0 Quattro convertible 2dr,Sedan,"$44,240",Gasline,6,"$40,075",3,FA,6,220,18,25,4013,105,180,Europe,All
Audi,A4 3.0 Quattro convertible 2dr,Sedan,"$40,075",Gasline,6,"$44,240",3,FA,6,220,18,25,4013,105,180,Europe,All
Audi,A41.8T convertible 2dr,Sedan,"$35,940",Gasline,6,"$32,506",1.8,FA,4,170,23,30,3638,105,180,Europe,Front
Audi,A41.8T convertible 2dr,Sedan,"$32,506",Gasline,6,"$35,940",1.8,FA,4,170,23,30,3638,105,180,Europe,Front
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,"$42,840",Gasline,6,"$38,840",2.7,FA,6,250,18,25,3836,109,192,Europe,All
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,"$38,840",Gasline,6,"$42,840",2.7,FA,6,250,18,25,3836,109,192,Europe,All
Audi,A6 3.0 4dr,Sedan,"$36,640",Gasline,6,"$33,129",3,FA,6,220,20,27,3561,109,192,Europe,Front
Audi,A6 3.0 4dr,Sedan,"$33,129",Gasline,6,"$36,640",3,FA,6,220,20,27,3561,109,192,Europe,Front
Audi,A6 3.0 Avant Quattro,Wagon,"$40,840",Gasline,6,"$37,060",3,FA,6,220,18,25,4035,109,192,Europe,All
Audi,A6 3.0 Avant Quattro,Wagon,"$37,060",Gasline,6,"$40,840",3,FA,6,220,18,25,4035,109,192,Europe,All
Audi,A6 3.0 Quattro 4dr,Sedan,"$39,640",Gasline,6,"$35,992",3,FA,6,220,18,25,3880,109,192,Europe,All
Audi,A6 3.0 Quattro 4dr,Sedan,"$35,992",Gasline,6,"$39,640",3,FA,6,220,18,25,3880,109,192,Europe,All
Audi,A6 4.2 Quattro 4dr,Sedan,"$49,690",Gasline,6,"$44,936",4.2,FA,8,300,17,24,4024,109,193,Europe,All
Audi,A6 4.2 Quattro 4dr,Sedan,"$44,936",Gasline,6,"$49,690",4.2,FA,8,300,17,24,4024,109,193,Europe,All
Audi,A8 L Quattro 4dr,Sedan,"$69,190",Gasline,6,"$64,740",4.2,FA,8,330,17,24,4399,121,204,Europe,All
Audi,A8 L Quattro 4dr,Sedan,"$64,740",Gasline,6,"$69,190",4.2,FA,8,330,17,24,4399,121,204,Europe,All
Hyundai,Accent 2dr hatch,Sedan,"$10,539",Diesel,8,"$10,107",1.6,CA,4,103,29,33,2255,96,167,Asia,Front
Hyundai,Accent 2dr hatch,Sedan,"$10,107",Diesel,8,"$10,539",1.6,CA,4,103,29,33,2255,96,167,Asia,Front
Hyundai,Accent GL 4dr,Sedan,"$11,839",Diesel,8,"$11,116",1.6,CA,4,103,29,33,2290,96,167,Asia,Front
Hyundai,Accent GL 4dr,Sedan,"$11,116",Diesel,8,"$11,839",1.6,CA,4,103,29,33,2290,96,167,Asia,Front
Hyundai,Accent GT 2dr hatch,Sedan,"$11,939",Diesel,8,"$11,209",1.6,CA,4,103,29,33,2339,96,167,Asia,Front
Hyundai,Accent GT 2dr hatch,Sedan,"$11,209",Diesel,8,"$11,939",1.6,CA,4,103,29,33,2339,96,167,Asia,Front
Honda,Accord EX 2dr,Sedan,"$22,260",Diesel,8,"$20,080",2.4,CA,4,160,26,34,3047,105,188,Asia,Front
Honda,Accord EX 2dr,Sedan,"$20,080",Diesel,8,"$22,260",2.4,CA,4,160,26,34,3047,105,188,Asia,Front
Honda,Accord EX V6 2dr,Sedan,"$26,960",Diesel,8,"$24,304",3,CA,6,240,21,30,3294,105,188,Asia,Front
Honda,Accord EX V6 2dr,Sedan,"$24,304",Diesel,8,"$26,960",3,CA,6,240,21,30,3294,105,188,Asia,Front
Honda,Accord LX 2dr,Sedan,"$19,860",Diesel,8,"$17,924",2.4,CA,4,160,26,34,2994,105,188,Asia,Front
Honda,Accord LX 2dr,Sedan,"$17,924",Diesel,8,"$19,860",2.4,CA,4,160,26,34,2994,105,188,Asia,Front
Honda,Accord LX V6 4dr,Sedan,"$23,760",Diesel,8,"$21,428",3,CA,6,240,21,30,3349,108,190,Asia,Front
Honda,Accord LX V6 4dr,Sedan,"$21,428",Diesel,8,"$23,760",3,CA,6,240,21,30,3349,108,190,Asia,Front
Suzuki,Aeno S 4dr,Sedan,"$12,884",Diesel,8,"$12,719",2.3,CA,4,155,25,31,2676,98,171,Asia,Front
Suzuki,Aeno S 4dr,Sedan,"$12,719",Diesel,8,"$12,884",2.3,CA,4,155,25,31,2676,98,171,Asia,Front
Suzuki,Aerio LX 4dr,Sedan,"$14,500",Diesel,8,"$14,317",2.3,CA,4,155,25,31,2676,98,171,Asia,Front
Suzuki,Aerio LX 4dr,Sedan,"$14,317",Diesel,8,"$14,500",2.3,CA,4,155,25,31,2676,98,171,Asia,Front
Suzuki,Aerio SX,Wagon,"$16,497",Diesel,8,"$16,291",2.3,CA,4,155,24,29,2932,98,167,Asia,All
Suzuki,Aerio SX,Wagon,"$16,291",Diesel,8,"$16,497",2.3,CA,4,155,24,29,2932,98,167,Asia,All
Oldsmobile,Alero GLS 2dr,Sedan,"$23,675",Hydrogen,8,"$21,485",3.4,CA,6,170,20,29,3085,107,187,USA,Front
Oldsmobile,Alero GLS 2dr,Sedan,"$21,485",Hydrogen,8,"$23,675",3.4,CA,6,170,20,29,3085,107,187,USA,Front
Oldsmobile,Alero GX 2dr,Sedan,"$18,825",Hydrogen,8,"$17,642",2.2,CA,4,140,24,32,2946,107,187,USA,Front
Oldsmobile,Alero GX 2dr,Sedan,"$17,642",Hydrogen,8,"$18,825",2.2,CA,4,140,24,32,2946,107,187,USA,Front
Nissan,Altima S 4dr,Sedan,"$19,240",Diesel,8,"$18,030",2.5,CA,4,175,21,26,3039,110,192,Asia,Front
Nissan,Altima S 4dr,Sedan,"$18,030",Diesel,8,"$19,240",2.5,CA,4,175,21,26,3039,110,192,Asia,Front
Nissan,Altima SE 4dr,Sedan,"$23,290",Diesel,8,"$21,580",3.5,CA,6,245,21,26,3197,110,192,Asia,Front
Nissan,Altima SE 4dr,Sedan,"$21,580",Diesel,8,"$23,290",3.5,CA,6,245,21,26,3197,110,192,Asia,Front
Kia,Amanti 4dr,Sedan,"$26,000",Diesel,8,"$23,764",3.5,CA,6,195,17,25,4021,110,196,Asia,Front
Kia,Amanti 4dr,Sedan,"$23,764",Diesel,8,"$26,000",3.5,CA,6,195,17,25,4021,110,196,Asia,Front
Isuzu,Ascender S,SUV,"$31,849",Diesel,8,"$29,977",4.2,CA,6,275,15,20,4967,129,208,Asia,All
Isuzu,Ascender S,SUV,"$29,977",Diesel,8,"$31,849",4.2,CA,6,275,15,20,4967,129,208,Asia,All
Chevrolet,Astro,Sedan,"$26,395",Hydrogen,8,"$23,954",4.3,CA,6,190,14,17,4605,111,190,USA,All
Chevrolet,Astro,Sedan,"$23,954",Hydrogen,8,"$26,395",4.3,CA,6,190,14,17,4605,111,190,USA,All
Chevrolet,Avalanche 1500,Truck,"$36,100",Hydrogen,8,"$31,689",5.3,CA,8,295,14,18,5678,130,222,USA,All
Chevrolet,Avalanche 1500,Truck,"$31,689",Hydrogen,8,"$36,100",5.3,CA,8,295,14,18,5678,130,222,USA,All
Toyota,Avalon XL 4dr,Sedan,"$26,560",Diesel,8,"$23,693",3,CA,6,210,21,29,3417,107,192,Asia,Front
Toyota,Avalon XL 4dr,Sedan,"$23,693",Diesel,8,"$26,560",3,CA,6,210,21,29,3417,107,192,Asia,Front
Toyota,Avalon XLS 4dr,Sedan,"$30,920",Diesel,8,"$27,271",3,CA,6,210,21,29,3439,107,192,Asia,Front
Toyota,Avalon XLS 4dr,Sedan,"$27,271",Diesel,8,"$30,920",3,CA,6,210,21,29,3439,107,192,Asia,Front
Chevrolet,Aveo 4dr,Sedan,"$11,690",Hydrogen,8,"$10,965",1.6,CA,4,103,28,34,2370,98,167,USA,Front
Chevrolet,Aveo 4dr,Sedan,"$10,965",Hydrogen,8,"$11,690",1.6,CA,4,103,28,34,2370,98,167,USA,Front
Chevrolet,Aveo LS 4dr hatch,Sedan,"$12,585",Hydrogen,8,"$11,802",1.6,CA,4,103,28,34,2348,98,153,USA,Front
Chevrolet,Aveo LS 4dr hatch,Sedan,"$11,802",Hydrogen,8,"$12,585",1.6,CA,4,103,28,34,2348,98,153,USA,Front
Lincoln,Aviator Ultimate,SUV,"$42,915",Hydrogen,8,"$39,443",4.6,CA,8,302,13,18,4834,114,193,USA,Front
Lincoln,Aviator Ultimate,SUV,"$39,443",Hydrogen,8,"$42,915",4.6,CA,8,302,13,18,4834,114,193,USA,Front
Pontiac,Aztekt,SUV,"$21,595",Hydrogen,8,"$19,810",3.4,CA,6,185,19,26,3779,108,182,USA,Front
Pontiac,Aztekt,SUV,"$19,810",Hydrogen,8,"$21,595",3.4,CA,6,185,19,26,3779,108,182,USA,Front
Mazda,B2300 SX Regular Cab,Truck,"$14,840",Diesel,8,"$14,070",2.3,CA,4,143,24,29,2960,112,188,Asia,Rear
Mazda,B2300 SX Regular Cab,Truck,"$14,070",Diesel,8,"$14,840",2.3,CA,4,143,24,29,2960,112,188,Asia,Rear
Mazda,B4000 SE Cab Plus,Truck,"$22,350",Diesel,8,"$20,482",4,CA,6,207,15,19,3571,126,203,Asia,All
Mazda,B4000 SE Cab Plus,Truck,"$20,482",Diesel,8,"$22,350",4,CA,6,207,15,19,3571,126,203,Asia,All
Subaru,Baja,Truck,"$24,520",Diesel,8,"$22,304",2.5,FA,4,165,21,28,3485,104,193,Asia,All
Subaru,Baja,Truck,"$22,304",Diesel,8,"$24,520",2.5,FA,4,165,21,28,3485,104,193,Asia,All
Pontiac,Bonneville GXP 4dr,Sedan,"$35,995",Hydrogen,8,"$32,997",4.6,FA,8,275,17,20,3790,112,203,USA,Front
Pontiac,Bonneville GXP 4dr,Sedan,"$32,997",Hydrogen,8,"$35,995",4.6,FA,8,275,17,20,3790,112,203,USA,Front
Porsche,Boxster convertible 2dr,Sports,"$43,365",Gasline,6,"$37,886",2.7,FA,6,228,20,29,2811,95,170,Europe,Rear
Porsche,Boxster convertible 2dr,Sports,"$37,886",Gasline,6,"$43,365",2.7,FA,6,228,20,29,2811,95,170,Europe,Rear
Porsche,Boxster S convertible 2dr,Sports,"$52,365",Gasline,6,"$45,766",3.2,FA,6,258,18,26,2911,95,170,Europe,Rear
Porsche,Boxster S convertible 2dr,Sports,"$45,766",Gasline,6,"$52,365",3.2,FA,6,258,18,26,2911,95,170,Europe,Rear
Mercedes-Benz,C230 Sport 2dr,Sedan,"$26,060",Gasline,6,"$24,249",1.8,FA,4,189,22,30,3250,107,178,Europe,Rear
Mercedes-Benz,C230 Sport 2dr,Sedan,"$24,249",Gasline,6,"$26,060",1.8,FA,4,189,22,30,3250,107,178,Europe,Rear
Mercedes-Benz,C240,Wagon,"$33,780",Gasline,6,"$31,466",2.6,FA,6,168,19,25,3470,107,179,Europe,Rear
Mercedes-Benz,C240,Wagon,"$31,466",Gasline,6,"$33,780",2.6,FA,6,168,19,25,3470,107,179,Europe,Rear
Mercedes-Benz,C240 4dr,Sedan,"$32,280",Gasline,6,"$30,071",2.6,FA,6,168,20,25,3360,107,178,Europe,Rear
Mercedes-Benz,C240 4dr,Sedan,"$33,480",Gasline,6,"$31,187",2.6,FA,6,168,19,25,3360,107,178,Europe,All
Mercedes-Benz,C240 4dr,Sedan,"$30,071",Gasline,6,"$32,280",2.6,FA,6,168,20,25,3360,107,178,Europe,Rear
Mercedes-Benz,C240 4dr,Sedan,"$31,187",Gasline,6,"$33,480",2.6,FA,6,168,19,25,3360,107,178,Europe,All
Mercedes-Benz,C32 AMG 4dr,Sedan,"$52,120",Gasline,6,"$48,522",3.2,FA,6,349,16,21,3540,107,178,Europe,Rear
Mercedes-Benz,C32 AMG 4dr,Sedan,"$48,522",Gasline,6,"$52,120",3.2,FA,6,349,16,21,3540,107,178,Europe,Rear
Mercedes-Benz,C320 4dr,Sedan,"$37,630",Gasline,6,"$35,046",3.2,FA,6,215,20,26,3450,107,178,Europe,Rear
Mercedes-Benz,C320 4dr,Sedan,"$38,830",Gasline,6,"$36,162",3.2,FA,6,215,19,27,3450,107,178,Europe,All
Mercedes-Benz,C320 4dr,Sedan,"$35,046",Gasline,6,"$37,630",3.2,FA,6,215,20,26,3450,107,178,Europe,Rear
Mercedes-Benz,C320 4dr,Sedan,"$36,162",Gasline,6,"$38,830",3.2,FA,6,215,19,27,3450,107,178,Europe,All
Mercedes-Benz,C320 Sport 2dr,Sedan,"$28,370",Gasline,6,"$26,435",3.2,FA,6,215,19,26,3430,107,178,Europe,Rear
Mercedes-Benz,C320 Sport 2dr,Sedan,"$26,435",Gasline,6,"$28,370",3.2,FA,6,215,19,26,3430,107,178,Europe,Rear
Mercedes-Benz,C320 Sport 4dr,Sedan,"$35,920",Gasline,6,"$33,456",3.2,FA,6,215,19,26,3430,107,178,Europe,Rear
Mercedes-Benz,C320 Sport 4dr,Sedan,"$33,456",Gasline,6,"$35,920",3.2,FA,6,215,19,26,3430,107,178,Europe,Rear
Volvo,C70 HPT convertible 2dr,Sedan,"$42,565",Gasline,6,"$40,083",2.3,FA,5,242,20,26,3450,105,186,Europe,Front
Volvo,C70 HPT convertible 2dr,Sedan,"$40,083",Gasline,6,"$42,565",2.3,FA,5,242,20,26,3450,105,186,Europe,Front
Volvo,C70 LPT convertible 2dr,Sedan,"$40,565",Gasline,6,"$38,203",2.4,FA,5,197,21,28,3450,105,186,Europe,Front
Volvo,C70 LPT convertible 2dr,Sedan,"$38,203",Gasline,6,"$40,565",2.4,FA,5,197,21,28,3450,105,186,Europe,Front
Toyota,Camry LE 4dr,Sedan,"$19,560",Diesel,8,"$17,558",2.4,FA,4,157,24,33,3086,107,189,Asia,Front
Toyota,Camry LE 4dr,Sedan,"$17,558",Diesel,8,"$19,560",2.4,FA,4,157,24,33,3086,107,189,Asia,Front
Toyota,Camry LE V6 4dr,Sedan,"$22,775",Diesel,8,"$20,325",3,FA,6,210,21,29,3296,107,189,Asia,Front
Toyota,Camry LE V6 4dr,Sedan,"$20,325",Diesel,8,"$22,775",3,FA,6,210,21,29,3296,107,189,Asia,Front
Toyota,Camry Solara SE 2dr,Sedan,"$19,635",Diesel,8,"$17,722",2.4,FA,4,157,24,33,3175,107,193,Asia,Front
Toyota,Camry Solara SE 2dr,Sedan,"$17,722",Diesel,8,"$19,635",2.4,FA,4,157,24,33,3175,107,193,Asia,Front
Toyota,Camry Solara SE V6 2dr,Sedan,"$21,965",Diesel,8,"$19,819",3.3,FA,6,225,20,29,3417,107,193,Asia,Front
Toyota,Camry Solara SE V6 2dr,Sedan,"$19,819",Diesel,8,"$21,965",3.3,FA,6,225,20,29,3417,107,193,Asia,Front
Toyota,Camry Solara SLE V6 2dr,Sedan,"$26,510",Diesel,8,"$23,908",3.3,FA,6,225,20,29,3439,107,193,Asia,Front
Toyota,Camry Solara SLE V6 2dr,Sedan,"$23,908",Diesel,8,"$26,510",3.3,FA,6,225,20,29,3439,107,193,Asia,Front
Toyota,Camry XLE V6 4dr,Sedan,"$25,920",Diesel,8,"$23,125",3,FA,6,210,21,29,3362,107,189,Asia,Front
Toyota,Camry XLE V6 4dr,Sedan,"$23,125",Diesel,8,"$25,920",3,FA,6,210,21,29,3362,107,189,Asia,Front
GMC,Canyon Z85 SL Regular Cab,Truck,"$16,530",Hydrogen,8,"$14,877",2.8,FA,4,175,18,25,3351,111,192,USA,Rear
GMC,Canyon Z85 SL Regular Cab,Truck,"$14,877",Hydrogen,8,"$16,530",2.8,FA,4,175,18,25,3351,111,192,USA,Rear
Dodge,Caravan SE,Sedan,"$21,795",Hydrogen,8,"$20,508",2.4,FA,4,150,20,26,3862,113,189,USA,Front
Dodge,Caravan SE,Sedan,"$20,508",Hydrogen,8,"$21,795",2.4,FA,4,150,20,26,3862,113,189,USA,Front
Chevrolet,Cavalier 2dr,Sedan,"$14,610",Hydrogen,8,"$13,697",2.2,FA,4,140,26,37,2617,104,183,USA,Front
Chevrolet,Cavalier 2dr,Sedan,"$13,697",Hydrogen,8,"$14,610",2.2,FA,4,140,26,37,2617,104,183,USA,Front
Chevrolet,Cavalier 4dr,Sedan,"$14,810",Hydrogen,8,"$13,884",2.2,FA,4,140,26,37,2676,104,183,USA,Front
Chevrolet,Cavalier 4dr,Sedan,"$13,884",Hydrogen,8,"$14,810",2.2,FA,4,140,26,37,2676,104,183,USA,Front
Chevrolet,Cavalier LS 2dr,Sedan,"$16,385",Hydrogen,8,"$15,357",2.2,FA,4,140,26,37,2617,104,183,USA,Front
Chevrolet,Cavalier LS 2dr,Sedan,"$15,357",Hydrogen,8,"$16,385",2.2,FA,4,140,26,37,2617,104,183,USA,Front
Porsche,Cayenne S,SUV,"$56,665",Gasline,6,"$49,865",4.5,FA,8,340,14,18,4950,112,188,Europe,All
Porsche,Cayenne S,SUV,"$49,865",Gasline,6,"$56,665",4.5,FA,8,340,14,18,4950,112,188,Europe,All
Toyota,Celica GT-S 2dr,Sports,"$22,570",Diesel,8,"$20,363",1.8,FA,4,180,24,33,2500,102,171,Asia,Front
Toyota,Celica GT-S 2dr,Sports,"$20,363",Diesel,8,"$22,570",1.8,FA,4,180,24,33,2500,102,171,Asia,Front
Buick,Century Custom 4dr,Sedan,"$22,180",Hydrogen,8,"$20,351",3.1,FA,6,175,20,30,3353,109,195,USA,Front
Buick,Century Custom 4dr,Sedan,"$20,351",Hydrogen,8,"$22,180",3.1,FA,6,175,20,30,3353,109,195,USA,Front
